,salary_id,employer_name,location_name,location_country,location_latitude,location_longitude,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus
275,1166,eastman chemical company,"kingsport, tn",US,36.52,-82.55,accountant,Other,2.0,2.0,62000.0,2500.0,8066.263736263736
276,1169,centurylink,"denver, co",US,39.82,-105.1,software engineer,Software,3.0,1.0,80000.0,0.0,4000.0
277,1174,microsoft,"redmond, wa",US,47.68,-122.12,senior software engineer,Software,4.0,4.0,147000.0,5000.0,26000.0
278,1179,freelance,"zurich, switzerland",CH,47.0,8.0,software security engineer,Software,10.0,0.0,140000.0,0.0,20000.0
279,1187,rackspace,"austin, tx",US,30.26,-97.74,software engineer,Software,5.0,1.0,135000.0,0.0,15.0
280,1190,thermo fisher scientific,"lowell, ma",US,42.63,-71.32,software engineer ii,Software,3.0,2.0,84000.0,5000.0,4000.0
281,1192,protolabs,minnesota,US,38.0,-97.0,analyst,Data,3.0,1.0,45000.0,21800.483568075117,1500.0
282,1194,of illinois,"champaign, il",US,40.11,-88.26,communications specialist,Other,6.0,3.0,58000.0,21800.483568075117,8066.263736263736
283,1200,google,"mountain view, ca",US,37.41,-122.05,web solutions engineer,Web,10.0,1.0,120000.0,0.0,18000.0
284,1204,paypal,maryland,US,38.0,-97.0,software engineer,Software,1.0,1.0,80000.0,10000.0,10.0
285,1206,undisclosed,"portland, or",US,45.44,-122.52,sr. support engineer,Engineering,15.0,4.0,97000.0,0.0,0.0
286,1208,indiana,"indianapolis, in",IN,20.0,77.0,it systems specialist,Other,10.0,1.0,85000.0,0.0,0.0
287,1221,ibm,"irvine, ca",US,33.74,-117.76,staff software engineer,Software,4.0,4.0,88800.0,0.0,1000.0
288,1226,interviewjet,new york city,US,38.0,-97.0,head of talent,Other,2.0,1.0,50000.0,0.0,0.0
289,1227,philips,"eindhoven, netherlands",NL,52.5,5.75,software engineer,Software,6.0,3.0,55000.0,6000.0,8066.263736263736
290,1235,ericsson,hungary,HU,47.0,20.0,software developer,Software,10.0,10.0,28000.0,0.0,1500.0
291,1237,apple,"cupertino, ca",US,37.3,-122.09,firmware engineer,Engineering,5.0,4.0,120000.0,10000.0,10000.0
292,1240,amazon,new york,US,38.0,-97.0,sde2,Software,8.0,3.0,140000.0,40000.0,0.0
293,1252,toyota,"costa mesa, california",US,33.67,-117.9,senior javascript engineer,Engineering,9.0,1.0,124000.0,0.0,5000.0
294,1255,george mason,"fairfax, va",US,38.86,-77.05,assistant professor,Other,4.0,4.0,102000.0,0.0,20400.0
295,1258,crytek,"frankfurt, germany",DE,51.0,9.0,web developer,Web,8.0,1.0,50000.0,0.0,0.0
296,1262,bisite research group,"salamanca, spain",ES,40.0,-4.0,intern software engineer,Software,4.0,0.0,5160.0,0.0,0.0
297,1266,qualcomm,colorado,US,38.0,-97.0,senior engineer,Engineering,4.0,4.0,120000.0,20000.0,5000.0
